symbol,price,price_change,price_percent_change
Boxlight Corp. (BOXL),1.8M,3.1,1.05
GDEV Inc. (GDEV),264.4K,20.9,6.64
Pony AI Inc. ADR (PONY),6.3M,23.61,5.73
Celsius Holdings Inc. (CELH),62.4M,32.62,7.09
Vicor Corp. (VICR),1.3M,63.67,11.81
Solaris Energy Infrastructure Inc. (SEI),3.6M,35.96,6.62
OSR Holdings Inc. (OSRH),24.8M,4.22,0.77
ACELYRIN Inc. (SLRN),12.6M,2.6,0.43
Farmer Bros. Co. (FARM),1.5M,3.04,0.44
Mercer International Inc. (MERC),1.4M,7.69,1.11
DouYu International Holdings Ltd. ADR (DOYU),1.3M,7.2,1.0
U-BX Technology Ltd. (UBXG),187.7K,3.5,0.48
Youxin Technology Ltd. Cl A (YAAS),125.8K,2.62,0.33
Diginex Ltd. (DGNX),263.6K,50.0,6.2
Innodata Inc. (INOD),12.8M,61.91,7.35
Tencent Music Entertainment Group ADR (TME),24.8M,14.38,1.55
World Kinect Corp. (WKC),2.3M,30.73,3.13
BitFuFu Inc. (FUFU),324.4K,5.35,0.52
The9 Ltd. ADR (NCTY),208.5K,16.47,1.59
SiNtx Technologies Inc. (SINT),5.5M,5.31,0.51
Avalon GloboCare Corp. (ALBT),100.3K,5.42,0.52
B. Riley Financial Inc. (RILY),4.8M,3.4,0.32
Cyngn Inc. (CYN),1.7M,7.76,0.69
Callan JMB Inc. (CJMB),333.2K,5.53,0.49
SAG Holdings Ltd. (SAG),548.5K,3.05,0.27
Sow Good Inc. (SOWG),85.4K,3.0,0.27
Aurora Mobile Ltd. ADR (JG),233.0K,11.8,1.03
Zai Lab Ltd. ADR (ZLAB),2.1M,33.78,2.79
Sabre Corp. (SABR),15.9M,4.52,0.37
Agora Inc. ADR (API),1.9M,6.16,0.49
Huize Holding Ltd. ADR (HUIZ),61.2K,3.78,0.29
Firefly Neuroscience Inc. (AIFF),6.9M,7.79,0.59
Armlogi Holding Corp. (BTOC),168.5K,2.66,0.2
StealthGas Inc. (GASS),456.4K,5.98,0.43
Viking Therapeutics Inc. (VKTX),15.8M,34.07,2.44
Ascentage Pharma Group International ADR (AAPG),167.5K,21.17,1.5
Astronics Corp. (ATRO),1.1M,20.2,1.42
MercadoLibre Inc. (MELI),1.3M,2260.0,149.53
MeiraGTx Holdings PLC (MGTX),954.3K,7.3,0.47
CeriBell Inc. (CBLL),320.3K,24.69,1.58
Universal Display Corp. (OLED),2.0M,157.3,9.96
AMN Healthcare Services Inc. (AMN),3.0M,27.58,1.74
Axsome Therapeutics Inc. (AXSM),1.5M,137.75,8.65
Xinyuan Real Estate Co. Ltd. ADR (XIN),82.2K,3.04,0.19
BJ's Restaurants Inc. (BJRI),794.1K,38.05,2.31
Federal Agricultural Mortgage Corp. Cl C (AGM),73.8K,208.09,12.42
Hesai Group ADR (HSAI),6.9M,19.63,1.12
Tantech Holdings Ltd. (TANH),3.1M,3.17,0.18
iRhythm Technologies Inc. (IRTC),1.8M,119.44,6.77
Big Tree Cloud Holdings Ltd. (DSY),66.6K,2.17,0.12
Ryerson Holding Corp. (RYI),396.0K,24.3,1.35
Verona Pharma PLC ADR (VRNA),2.1M,67.96,3.77
Q32 Bio Inc. (QTTB),450.3K,2.57,0.14
Alibaba Group Holding Ltd. ADR (BABA),73.9M,143.75,7.78
PDD Holdings Inc. ADR (PDD),16.8M,131.34,6.93
Lufax Holding Ltd. ADR (LU),5.6M,3.1,0.16
Dingdong (Cayman) Ltd. ADR (DDL),1.2M,3.71,0.19
China Yuchai International Ltd. (CYD),2.0M,20.0,1.02
e.l.f. Beauty Inc. (ELF),3.0M,74.92,3.81
Moderna Inc. (MRNA),21.4M,35.53,1.8
Owlet Inc. (OWLT),62.9K,5.22,0.26
Intelligent Bio Solutions Inc. (INBS),330.0K,2.21,0.11
Precipio Inc. (PRPO),77.7K,10.14,0.5
Novo Nordisk A/S ADR (NVO),15.1M,88.08,4.34
Clear Secure Inc. (YOU),4.1M,23.55,1.16
One Stop Systems Inc. (OSS),1.4M,3.92,0.19
HUTCHMED (China) Ltd. ADR (HCM),137.9K,16.11,0.78
Arcturus Therapeutics Holdings Inc. (ARCT),436.0K,17.77,0.85
Nvni Group Ltd. (NVNI),398.6K,2.51,0.12
Exelixis Inc. (EXEL),3.5M,36.85,1.76
CS Disco Inc. (LAW),431.1K,5.25,0.25
Alvotech (ALVO),189.0K,12.28,0.58
Vigil Neuroscience Inc. (VIGL),761.1K,3.03,0.14
MP Materials Corp. (MP),4.7M,24.3,1.12
RLX Technology Inc. ADR (RLX),15.3M,2.43,0.11
LexinFintech Holdings Ltd. ADR (LX),6.1M,9.36,0.42
Tuya Inc. ADR (TUYA),16.7M,4.06,0.18
Applied Digital Corp. (APLD),64.8M,10.65,0.47
BeiGene Ltd. ADR (ONC),811.1K,255.37,11.17
N-able Inc. (NABL),953.1K,10.3,0.45
Primo Brands Corp. (PRMB),3.8M,34.07,1.48
Safe Pro Group Inc. (SPAI),80.2K,4.02,0.17
Scholastic Corp. (SCHL),472.5K,20.6,0.87
Clearwater Analytics Holdings Inc. (CWAN),5.1M,31.26,1.32
Sandisk Corp. (SNDKV),1.3M,50.37,2.11
Agios Pharmaceuticals Inc. (AGIO),1.0M,35.22,1.47
Grid Dynamics Holdings Inc. (GDYN),2.7M,21.37,0.89
J&J Snack Foods Corp. (JJSF),140.4K,129.29,5.33
Rayonier Advanced Materials Inc. (RYAM),687.1K,7.38,0.3
B&G Foods Inc. (BGS),2.0M,6.67,0.27
Kenvue Inc. (KVUE),25.7M,23.32,0.93
Reitar Logtech Holdings Ltd. (RITR),103.8K,2.77,0.11
Li Auto Inc. ADR (LI),12.9M,27.46,1.09
Denny's Corp. (DENN),1.6M,5.32,0.21
Rocket Cos. Inc. (RKT),5.3M,13.25,0.52
Hershey Co. (HSY),4.1M,172.86,6.76
Coca-Cola Femsa S.A.B. de C.V. ADR (KOF),325.7K,88.39,3.45
Cyclerion Therapeutics Inc. (CYCN),158.6K,2.82,0.11
Maravai LifeSciences Holdings Inc. (MRVI),5.5M,4.11,0.16
Mondelez International Inc. Cl A (MDLZ),16.3M,64.67,2.5
